npu,asset_type,asset_url,notes
A,,,no web presence
B,website,https://npu-b.com/,
C,,,no web presence
D,website,https://www.riversideatl.com/npu-d,
E,website,https://www.npueatlanta.org/,
F,website,https://npufatlanta.org/,
G,facebook page,https://www.facebook.com/ATLNPUG/,
H,facebook page,https://www.facebook.com/npuhwestatlanta/,
I,website,https://www.npui.info/,
J,website,https://www.npujatlanta.com/,
K,facebook page,https://www.facebook.com/p/NPU-K-Atlanta-100076330813743,
K,facebook group,https://www.facebook.com/groups/1372729389412278/,
L,facebook group,https://www.facebook.com/groups/AtlantaNPUL/,
M,website,https://npumatlanta.org,
N,website,https://npunatlanta.org,
O,website,https://www.atlantanpuo.org/,
P,website,https://npu-p.org/,
Q,,,no web presence
R,website,https://npuratlanta.org/,
R,facebook group,https://www.facebook.com/groups/AtlantaNPUR/,
S,website,http://npu-s.org/,
T,website,https://www.nputatlanta.org,
T,facebook group,https://www.facebook.com/groups/646893722145801/,
V,facebook page,https://www.facebook.com/npuvatl/,
W,website,https://cityofatlantanpu-w.org/,
X,website,https://www.npu-x.com/,
X,facebook group,https://www.facebook.com/groups/1037204146349760/,
Y,website,https://www.npuyatlanta.com/,
Y,facebook group,https://www.facebook.com/groups/npuyatlanta/,
